"id","name","path_name"
74,"Specialty Chemicals","basic-materials/specialty-chemicals"
75,"REIT - Office","financial/reit-office"
76,"Regional - Mid-Atlantic Banks","financial/regional-mid-atlantic-banks"
77,"Metal Fabrication","industrial-goods/metal-fabrication"
78,"Silver","basic-materials/silver"
79,"REIT - Retail","financial/reit-retail"
80,"Diversified Utilities","utilities/diversified-utilities"
81,"Textile Industrial","industrial-goods/textile-industrial"
82,"Advertising Agencies","services/advertising-agencies"
83,"Industrial Electrical Equipment","industrial-goods/industrial-electrical-equipment"
84,"Printed Circuit Boards","technology/printed-circuit-boards"
85,"Mortgage Investment","financial/mortgage-investment"
86,"REIT - Hotel/Motel","financial/reit-hotel-motel"
87,"Oil & Gas Refining & Marketing","basic-materials/oil-gas-refining-marketing"
88,"Technical & System Software","technology/technical-system-software"
89,"Specialty Retail, Other","services/specialty-retail-other"
90,"Housewares & Accessories","consumer-goods/housewares-accessories"
91,"Drug Manufacturers - Other","healthcare/drug-manufacturers-other"
92,"Oil & Gas Drilling & Exploration","basic-materials/oil-gas-drilling-exploration"
93,"Investment Brokerage - National","financial/investment-brokerage-national"
94,"Education & Training Services","services/education-training-services"
95,"Computer Peripherals","technology/computer-peripherals"
96,"Conglomerates","conglomerates/conglomerates"
97,"Regional - Southeast Banks","financial/regional-southeast-banks"
98,"Electronic Equipment","consumer-goods/electronic-equipment"
99,"Broadcasting - TV","services/broadcasting-tv"
100,"Paper & Paper Products","consumer-goods/paper-paper-products"
101,"REIT - Industrial","financial/reit-industrial"
102,"Regional - Midwest Banks","financial/regional-midwest-banks"
103,"REIT - Diversified","financial/reit-diversified"
104,"Internet Information Providers","technology/internet-information-providers"
105,"Beverages - Wineries & Distillers","consumer-goods/beverages-wineries-distillers"
106,"Agricultural Chemicals","basic-materials/agricultural-chemicals"
107,"Credit Services","financial/credit-services"
108,"Meat Products","consumer-goods/meat-products"
109,"Computers Wholesale","services/computers-wholesale"
110,"Broadcasting - Radio","services/broadcasting-radio"
111,"Electronics Wholesale","services/electronics-wholesale"
112,"Hospitals","healthcare/hospitals"
113,"Trucks & Other Vehicles","consumer-goods/trucks-other-vehicles"
114,"Food - Major Diversified","consumer-goods/food-major-diversified"
115,"Semiconductor Equipment & Materials","technology/semiconductor-equipment-materials"
116,"Property & Casualty Insurance","financial/property-casualty-insurance"
117,"Internet Software & Services","technology/internet-software-services"
118,"Technical Services","services/technical-services"
119,"Asset Management","financial/asset-management"
120,"Trucking","services/trucking"
