"name","url","park","park_url","opened","type","height","length","inversions","speed","duration","longitude","latitude","country"
"Coca-Cola Roller","http://www.rcdb.com/./2873.htm","Glasgow Garden Festival","http://www.rcdb.com/./5650.htm","1988","Sit Down","116","935","3","47","108","0","0","UK"
"Cohete","http://www.rcdb.com/./2081.htm","Ital Park","http://www.rcdb.com/./5322.htm","1981","Sit Down","75","2400","2","40","0","-34.584752","-58.386990","Argentina"
"Colorado Adventure","http://www.rcdb.com/./978.htm","Phantasialand","http://www.rcdb.com/./4872.htm","1996","Sit Down","85","4199","0","31.1","175","50.799764","6.880295","Germany"
"Colossus","http://www.rcdb.com/./2612.htm","Habtoorland","http://www.rcdb.com/./5536.htm","2004","Sit Down","116","935","3","47","108","0","0",""
"Corkscrew","http://www.rcdb.com/./319.htm","Playland","http://www.rcdb.com/./4609.htm","1994","Sit Down","75","2400","2","40","0","49.282721","-123.036608","Canada"
"Corkscrew","http://www.rcdb.com/./778.htm","Alton Towers","http://www.rcdb.com/./4796.htm","1980","Sit Down","75","2400","2","40","75","52.989203","-1.885014","UK"
"Corkscrew","http://www.rcdb.com/./823.htm","Flamingo Land Theme Park & Zoo","http://www.rcdb.com/./4804.htm","1983","Sit Down","75","2400","2","40","0","54.210500","-0.808800","UK"
"Corkscrew","http://www.rcdb.com/./1242.htm","Genting Theme Park","http://www.rcdb.com/./4977.htm","-","Sit Down","75","2400","2","40","0","0","0","Malaysia"
"Corkscrew","http://www.rcdb.com/./1610.htm","Magic Land","http://www.rcdb.com/./5132.htm","1982","Sit Down","64","1148","2","37.3","0","13.820495","100.565779","Thailand"
"Corkscrew","http://www.rcdb.com/./1887.htm","Spanish City Amusement Park","http://www.rcdb.com/./4829.htm","1980","Sit Down","75","2400","2","40","0","0","0","UK"
"Crazy Roller Coaster","http://www.rcdb.com/./1795.htm","Nanhu Amusement Park","http://www.rcdb.com/./5211.htm","1986","Sit Down","0","0","4","0","0","0","0","China"
"Dark Ride","http://www.rcdb.com/./2395.htm","Dream Park","http://www.rcdb.com/./5021.htm","1998","Sit Down","0","0","0","0","0","29.967343","31.059262","Egypt"
"Dark Ride","http://www.rcdb.com/./8657.htm","E-DA Theme Park","http://www.rcdb.com/./8655.htm","2010","Sit Down","49","1328","0","28","0","22.730759","120.409116",""
"Déjà Vu","http://www.rcdb.com/./746.htm","Six Flags Great America","http://www.rcdb.com/./4530.htm","2001","Inverted","191","1204","3","65.6","92","42.367594","-87.934012","USA"
"Déjà Vu","http://www.rcdb.com/./748.htm","Six Flags Magic Mountain","http://www.rcdb.com/./4532.htm","2001","Inverted","191","1204","3","65.6","92","34.424243","-118.597906","USA"
"Déjà Vu","http://www.rcdb.com/./1040.htm","Six Flags Over Georgia","http://www.rcdb.com/./4535.htm","2001","Inverted","191","1204","3","65.6","92","33.768915","-84.549977","USA"
"Delfinexpressen","http://www.rcdb.com/./4314.htm","Kolmårdens Djurpark","http://www.rcdb.com/./6334.htm","2009","Sit Down","42","1099","0","28.5","66","58.662830","16.451340","Sweden"
"Demon","http://www.rcdb.com/./1124.htm","Wonderland Sydney","http://www.rcdb.com/./4935.htm","1992","Sit Down","116","935","3","47","108","-33.800785","150.847932","Australia"
"Desafío","http://www.rcdb.com/./1322.htm","Parque de la Costa","http://www.rcdb.com/./5010.htm","1999","Inverted","109","2260","5","49.7","96","-34.417350","-58.576350","Argentina"
"Déval'Train","http://www.rcdb.com/./2394.htm","Parc Touristique des Combes","http://www.rcdb.com/./5449.htm","2003","Sit Down","27","679","0","21.7","44","46.812224","4.411413",""
"Devil's Mine","http://www.rcdb.com/./1002.htm","Fort Fun Abenteuerland","http://www.rcdb.com/./4881.htm","1996","Sit Down","64","1345","0","0","75","51.314037","8.439453","Germany"
"Diamond Devil Run","http://www.rcdb.com/./1166.htm","Ratanga Junction","http://www.rcdb.com/./4956.htm","1998","Sit Down","45","2575","0","30.1","180","0","0","South Africa"
"Dragon","http://www.rcdb.com/./554.htm","Legoland California","http://www.rcdb.com/./4733.htm","1999","Sit Down","0","0","0","0","0","33.127824","-117.311529","USA"
"Dragon","http://www.rcdb.com/./2737.htm","Legoland Florida","http://www.rcdb.com/./5589.htm","2004","Sit Down","42","1099","0","28.5","66","27.991597","-81.692222","USA"
"Dragon in Clouds","http://www.rcdb.com/./4126.htm","Happy Valley","http://www.rcdb.com/./6253.htm","2009","Inverted","117","2202","4","54.9","92","30.723521","104.032824","China"
"Dragon in Snowfield","http://www.rcdb.com/./4125.htm","Happy Valley","http://www.rcdb.com/./6253.htm","2009","Sit Down","45","2575","0","30.1","140","30.723521","104.032824","China"
"Dream Catcher","http://www.rcdb.com/./915.htm","Bobbejaanland","http://www.rcdb.com/./4846.htm","1987","Suspended","82","1968","0","0","164","51.200565","4.907928","Belgium"
"Ednör - L'Attaque","http://www.rcdb.com/./8662.htm","La Ronde","http://www.rcdb.com/./4567.htm","2010","Inverted","109","2260","5","49.7","96","45.523932","-73.535067","Canada"
"El Condor","http://www.rcdb.com/./770.htm","Walibi Holland","http://www.rcdb.com/./4794.htm","1994","Inverted","101","2171","5","49.7","122","52.440316","5.762501","Netherlands"
"Enchanted Airways","http://www.rcdb.com/./4326.htm","Universal Studios Singapore","http://www.rcdb.com/./4859.htm","2010","Sit Down","0","1148","0","0","0","1.255817","103.818760","Singapore"
"EuroLoop","http://www.rcdb.com/./2713.htm","Europark","http://www.rcdb.com/./5584.htm","2004","Sit Down","98","0","4","40.4","0","43.301352","3.412457","France"
"Evolution","http://www.rcdb.com/./917.htm","Bobbejaanland","http://www.rcdb.com/./4846.htm","1989","Sit Down","86","2362","0","31.1","140","51.200565","4.907928","Belgium"
"Expedition Everest","http://www.rcdb.com/./2389.htm","Walt Disney World - Disney's Animal Kingdom","http://www.rcdb.com/./5109.htm","2006","Sit Down","112","4424","0","50","170","28.357492","-81.590610","USA"
"F2 Fright Flight","http://www.rcdb.com/./1267.htm","Nasu Highland Park","http://www.rcdb.com/./4986.htm","1995","Inverted","109","2260","5","49.7","90","37.063122","139.963964","Japan"
